boundary,a_fm,sigma,segment,n_samples,method,wavelength_mc,amplitude_q,amplitude_std_q,edge_sensitive,status
OBC,0.0774,2,0,400,peak_spacing,28,1.32087,0.487396,no,ok
OBC,0.0774,2,0,400,fft,388,,,no,too_few_cycles
OBC,0.0774,2,1,400,peak_spacing,28,1.51017,0.579887,no,ok
OBC,0.0774,2,1,400,fft,97,,,no,ok
OBC,0.0774,4,0,400,peak_spacing,52.5,0.866289,0.296339,no,ok
OBC,0.0774,4,0,400,fft,376,,,no,too_few_cycles
OBC,0.0774,4,1,400,peak_spacing,48,0.925753,0.394784,no,ok
OBC,0.0774,4,1,400,fft,94,,,no,ok
OBC,0.0774,6,0,400,peak_spacing,57,0.654211,0.188443,no,ok
OBC,0.0774,6,0,400,fft,364,,,no,too_few_cycles
OBC,0.0774,6,1,400,peak_spacing,57,0.777226,0.188769,no,ok
OBC,0.0774,6,1,400,fft,91,,,no,ok
OBC,0.0774,8,0,400,peak_spacing,89,0.509617,0.162209,yes,ok
OBC,0.0774,8,0,400,fft,352,,,no,too_few_cycles
OBC,0.0774,8,1,400,peak_spacing,78,0.630167,0.225283,no,ok
OBC,0.0774,8,1,400,fft,88,,,no,ok
OBC,0.0774,10,0,400,peak_spacing,89,0.380114,0.153126,yes,ok
OBC,0.0774,10,0,400,fft,340,,,no,too_few_cycles
OBC,0.0774,10,1,400,peak_spacing,96.5,0.619279,0.238244,yes,ok
OBC,0.0774,10,1,400,fft,85,,,no,ok
OBC,0.0774,12,0,400,peak_spacing,78,0.376824,0.157503,no,ok
OBC,0.0774,12,0,400,fft,328,,,no,too_few_cycles
OBC,0.0774,12,1,400,peak_spacing,89,0.406984,0.121758,no,ok
OBC,0.0774,12,1,400,fft,109.333,,,no,ok
OBC,0.0774,15,0,400,peak_spacing,,,,,no_estimate
OBC,0.0774,15,0,400,fft,310,,,no,too_few_cycles
OBC,0.0774,15,1,400,peak_spacing,85,0.269889,0.116844,no,ok
OBC,0.0774,15,1,400,fft,103.333,,,no,ok
OBC,0.0774,20,0,400,peak_spacing,,,,,no_estimate
OBC,0.0774,20,0,400,fft,280,,,no,too_few_cycles
OBC,0.0774,20,1,400,peak_spacing,,,,,no_estimate
OBC,0.0774,20,1,400,fft,93.3333,,,no,ok
OBC,0.0774,25,0,400,peak_spacing,,,,,no_estimate
OBC,0.0774,25,0,400,fft,250,,,no,too_few_cycles
OBC,0.0774,25,1,400,peak_spacing,,,,,no_estimate
OBC,0.0774,25,1,400,fft,83.3333,,,no,ok
OBC,0.0774,30,0,400,peak_spacing,,,,,no_estimate
OBC,0.0774,30,0,400,fft,220,,,no,too_few_cycles
OBC,0.0774,30,1,400,peak_spacing,,,,,no_estimate
OBC,0.0774,30,1,400,fft,110,,,no,ok
OBC,0.0774,35,0,400,peak_spacing,,,,,no_estimate
OBC,0.0774,35,0,400,fft,190,,,no,too_few_cycles
OBC,0.0774,35,1,400,peak_spacing,,,,,no_estimate
OBC,0.0774,35,1,400,fft,95,,,no,lambda_too_close_to_sigma
OBC,0.0774,40,0,400,peak_spacing,,,,,no_estimate
OBC,0.0774,40,0,400,fft,160,,,no,too_few_cycles
OBC,0.0774,40,1,400,peak_spacing,,,,,no_estimate
OBC,0.0774,40,1,400,fft,160,,,no,too_few_cycles
PBC,0.0774,2,0,400,peak_spacing,22,1.22713,0.429487,no,ok
PBC,0.0774,2,0,400,fft,32.3333,,,no,ok
PBC,0.0774,2,1,400,peak_spacing,23,1.36501,0.486638,no,ok
PBC,0.0774,2,1,400,fft,24.25,,,no,ok
PBC,0.0774,4,0,400,peak_spacing,53,0.925515,0.368607,no,ok
PBC,0.0774,4,0,400,fft,47,,,no,ok
PBC,0.0774,4,1,400,peak_spacing,46,0.921551,0.45166,no,ok
PBC,0.0774,4,1,400,fft,376,,,no,too_few_cycles
PBC,0.0774,6,0,400,peak_spacing,64,0.761434,0.339497,no,ok
PBC,0.0774,6,0,400,fft,72.8,,,no,ok
PBC,0.0774,6,1,400,peak_spacing,111,0.994327,0.571438,no,ok
PBC,0.0774,6,1,400,fft,364,,,no,too_few_cycles
PBC,0.0774,8,0,400,peak_spacing,66,0.569084,0.328045,yes,ok
PBC,0.0774,8,0,400,fft,70.4,,,no,ok
PBC,0.0774,8,1,400,peak_spacing,110,1.03305,0.518293,no,ok
PBC,0.0774,8,1,400,fft,352,,,no,too_few_cycles
PBC,0.0774,10,0,400,peak_spacing,64,0.493786,0.327699,yes,ok
PBC,0.0774,10,0,400,fft,68,,,no,ok
PBC,0.0774,10,1,400,peak_spacing,90.5,0.789443,0.567699,no,ok
PBC,0.0774,10,1,400,fft,340,,,no,too_few_cycles
PBC,0.0774,12,0,400,peak_spacing,133.5,0.402433,0.346599,no,ok
PBC,0.0774,12,0,400,fft,65.6,,,no,ok
PBC,0.0774,12,1,400,peak_spacing,94.5,0.654061,0.533484,no,ok
PBC,0.0774,12,1,400,fft,328,,,no,too_few_cycles
PBC,0.0774,15,0,400,peak_spacing,352,0.630597,0,no,too_few_cycles
PBC,0.0774,15,0,400,fft,310,,,no,too_few_cycles
PBC,0.0774,15,1,400,peak_spacing,144,1.06281,0,yes,ok
PBC,0.0774,15,1,400,fft,77.5,,,no,ok
PBC,0.0774,20,0,400,peak_spacing,356,0.467503,0,no,too_few_cycles
PBC,0.0774,20,0,400,fft,280,,,no,too_few_cycles
PBC,0.0774,20,1,400,peak_spacing,,,,,no_estimate
PBC,0.0774,20,1,400,fft,93.3333,,,no,ok
PBC,0.0774,25,0,400,peak_spacing,350,0.371274,0,no,too_few_cycles
PBC,0.0774,25,0,400,fft,250,,,no,too_few_cycles
PBC,0.0774,25,1,400,peak_spacing,,,,,no_estimate
PBC,0.0774,25,1,400,fft,83.3333,,,no,ok
PBC,0.0774,30,0,400,peak_spacing,328,0.300371,0,no,too_few_cycles
PBC,0.0774,30,0,400,fft,220,,,no,too_few_cycles
PBC,0.0774,30,1,400,peak_spacing,,,,,no_estimate
PBC,0.0774,30,1,400,fft,110,,,no,ok
PBC,0.0774,35,0,400,peak_spacing,310,0.243748,0,yes,too_few_cycles
PBC,0.0774,35,0,400,fft,190,,,no,too_few_cycles
PBC,0.0774,35,1,400,peak_spacing,,,,,no_estimate
PBC,0.0774,35,1,400,fft,190,,,no,too_few_cycles
PBC,0.0774,40,0,400,peak_spacing,300,0.196364,0,yes,too_few_cycles
PBC,0.0774,40,0,400,fft,160,,,no,too_few_cycles
PBC,0.0774,40,1,400,peak_spacing,,,,,no_estimate
PBC,0.0774,40,1,400,fft,160,,,no,too_few_cycles
OBC,0.0560,2,0,400,peak_spacing,23,1.89365,0.793857,no,ok
OBC,0.0560,2,0,400,fft,32.3333,,,no,ok
OBC,0.0560,2,1,400,peak_spacing,33,2.09123,0.621819,no,ok
OBC,0.0560,2,1,400,fft,38.8,,,no,ok
OBC,0.0560,4,0,400,peak_spacing,57.5,1.65112,0.673788,no,ok
OBC,0.0560,4,0,400,fft,376,,,no,too_few_cycles
OBC,0.0560,4,1,400,peak_spacing,45,1.38237,0.55327,no,ok
OBC,0.0560,4,1,400,fft,41.7778,,,no,ok
OBC,0.0560,6,0,400,peak_spacing,76,1.37459,0.498987,no,ok
OBC,0.0560,6,0,400,fft,364,,,no,too_few_cycles
OBC,0.0560,6,1,400,peak_spacing,77,1.15107,0.341487,no,ok
OBC,0.0560,6,1,400,fft,40.4444,,,no,ok
OBC,0.0560,8,0,400,peak_spacing,88,1.1272,0.356174,no,ok
OBC,0.0560,8,0,400,fft,352,,,no,too_few_cycles
OBC,0.0560,8,1,400,peak_spacing,77.5,0.816872,0.355346,no,ok
OBC,0.0560,8,1,400,fft,39.1111,,,no,ok
OBC,0.0560,10,0,400,peak_spacing,88,0.839029,0.340267,yes,ok
OBC,0.0560,10,0,400,fft,340,,,no,too_few_cycles
OBC,0.0560,10,1,400,peak_spacing,144,0.852994,0.237563,no,ok
OBC,0.0560,10,1,400,fft,170,,,no,ok
OBC,0.0560,12,0,400,peak_spacing,204.5,0.856661,0.572409,no,too_few_cycles
OBC,0.0560,12,0,400,fft,328,,,no,too_few_cycles
OBC,0.0560,12,1,400,peak_spacing,140.5,0.695478,0.229021,no,ok
OBC,0.0560,12,1,400,fft,164,,,no,ok
OBC,0.0560,15,0,400,peak_spacing,238,1.20087,0,no,too_few_cycles
OBC,0.0560,15,0,400,fft,310,,,no,too_few_cycles
OBC,0.0560,15,1,400,peak_spacing,139,0.527258,0.22029,no,ok
OBC,0.0560,15,1,400,fft,155,,,no,ok
OBC,0.0560,20,0,400,peak_spacing,250,0.940999,0,no,too_few_cycles
OBC,0.0560,20,0,400,fft,280,,,no,too_few_cycles
OBC,0.0560,20,1,400,peak_spacing,143,0.347418,0.218785,no,too_few_cycles
OBC,0.0560,20,1,400,fft,280,,,no,too_few_cycles
OBC,0.0560,25,0,400,peak_spacing,256,0.762291,0,yes,too_few_cycles
OBC,0.0560,25,0,400,fft,250,,,no,too_few_cycles
OBC,0.0560,25,1,400,peak_spacing,438,0.479749,0,no,too_few_cycles
OBC,0.0560,25,1,400,fft,250,,,no,too_few_cycles
OBC,0.0560,30,0,400,peak_spacing,,,,,no_estimate
OBC,0.0560,30,0,400,fft,220,,,no,too_few_cycles
OBC,0.0560,30,1,400,peak_spacing,212,0.352384,0,no,too_few_cycles
OBC,0.0560,30,1,400,fft,220,,,no,too_few_cycles
OBC,0.0560,35,0,400,peak_spacing,,,,,no_estimate
OBC,0.0560,35,0,400,fft,190,,,no,too_few_cycles
OBC,0.0560,35,1,400,peak_spacing,232,0.268056,0,yes,too_few_cycles
OBC,0.0560,35,1,400,fft,190,,,no,too_few_cycles
OBC,0.0560,40,0,400,peak_spacing,,,,,no_estimate
OBC,0.0560,40,0,400,fft,160,,,no,too_few_cycles
OBC,0.0560,40,1,400,peak_spacing,266,0.211265,0,yes,too_few_cycles
OBC,0.0560,40,1,400,fft,160,,,no,too_few_cycles
PBC,0.0560,2,0,400,peak_spacing,37.5,2.59158,1.095,no,ok
PBC,0.0560,2,0,400,fft,77.6,,,no,ok
PBC,0.0560,2,1,400,peak_spacing,26.5,2.16253,0.914185,no,ok
PBC,0.0560,2,1,400,fft,97,,,no,ok
PBC,0.0560,4,0,400,peak_spacing,45,1.78014,0.895308,no,ok
PBC,0.0560,4,0,400,fft,75.2,,,no,ok
PBC,0.0560,4,1,400,peak_spacing,61,1.7896,0.734564,no,ok
PBC,0.0560,4,1,400,fft,125.333,,,no,ok
