boundary,a_fm,sigma,method,n_segments,median_wavelength_mc,segment_range_mc
OBC,0.0774,2,peak_spacing,2,28,0
OBC,0.0774,2,fft,1,97,0
OBC,0.0774,4,peak_spacing,2,50.25,4.5
OBC,0.0774,4,fft,1,94,0
OBC,0.0774,6,peak_spacing,2,57,0
OBC,0.0774,6,fft,1,91,0
OBC,0.0774,8,peak_spacing,2,83.5,11
OBC,0.0774,8,fft,1,88,0
OBC,0.0774,10,peak_spacing,2,92.75,7.5
OBC,0.0774,10,fft,1,85,0
OBC,0.0774,12,peak_spacing,2,83.5,11
OBC,0.0774,12,fft,1,109.333,0
OBC,0.0774,15,peak_spacing,1,85,0
OBC,0.0774,15,fft,1,103.333,0
OBC,0.0774,20,fft,1,93.3333,0
OBC,0.0774,25,fft,1,83.3333,0
OBC,0.0774,30,fft,1,110,0
PBC,0.0774,2,peak_spacing,2,22.5,1
PBC,0.0774,2,fft,2,28.2917,8.08333
PBC,0.0774,4,peak_spacing,2,49.5,7
PBC,0.0774,4,fft,1,47,0
PBC,0.0774,6,peak_spacing,2,87.5,47
PBC,0.0774,6,fft,1,72.8,0
PBC,0.0774,8,peak_spacing,2,88,44
PBC,0.0774,8,fft,1,70.4,0
PBC,0.0774,10,peak_spacing,2,77.25,26.5
PBC,0.0774,10,fft,1,68,0
PBC,0.0774,12,peak_spacing,2,114,39
PBC,0.0774,12,fft,1,65.6,0
PBC,0.0774,15,peak_spacing,1,144,0
PBC,0.0774,15,fft,1,77.5,0
PBC,0.0774,20,fft,1,93.3333,0
PBC,0.0774,25,fft,1,83.3333,0
PBC,0.0774,30,fft,1,110,0
OBC,0.0560,2,peak_spacing,2,28,10
OBC,0.0560,2,fft,2,35.5667,6.46667
OBC,0.0560,4,peak_spacing,2,51.25,12.5
OBC,0.0560,4,fft,1,41.7778,0
OBC,0.0560,6,peak_spacing,2,76.5,1
OBC,0.0560,6,fft,1,40.4444,0
OBC,0.0560,8,peak_spacing,2,82.75,10.5
OBC,0.0560,8,fft,1,39.1111,0
OBC,0.0560,10,peak_spacing,2,116,56
OBC,0.0560,10,fft,1,170,0
OBC,0.0560,12,peak_spacing,1,140.5,0
OBC,0.0560,12,fft,1,164,0
OBC,0.0560,15,peak_spacing,1,139,0
OBC,0.0560,15,fft,1,155,0
PBC,0.0560,2,peak_spacing,2,32,11
PBC,0.0560,2,fft,2,87.3,19.4
PBC,0.0560,4,peak_spacing,2,53,16
PBC,0.0560,4,fft,2,100.267,50.1333
